# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6821
#@/user_id	d7bca733-c966-4bb9-82c2-6797267e84e9
a 	啊	c=11 d=2.40186 t=6639
si ge 	四個	c=2 d=1.13807 t=2418
si hao 	四號	c=1 d=1 t=1761
si hu 	似乎	c=2 d=1.00002 t=6522
si kao 	思考	c=2 d=1 t=6523
si lu 	思路	c=1 d=1 t=6439
si wang 	死亡	c=1 d=1 t=6797
si wei 	四位	c=1 d=1 t=2289
si xia li 	私下裏	c=1 d=1 t=2921
si xiang 	思想	c=3 d=2.14116 t=1287
si yuan 	思源	c=2 d=1.67032 t=693
sou suo 	搜索	c=1 d=1 t=1030
sou suo dao 	搜索到	c=2 d=1.9802 t=1041
su 	速	c=1 d=1 t=328
suan fa 	算法	c=14 d=4.40379 t=5354
suan fa de 	算法的	c=2 d=1.50662 t=4770
suan fa zhong 	算法中	c=1 d=1 t=5151
suan shu 	算術	c=1 d=1 t=2628
suan shu luo ji dan yuan 	算术逻辑单元	c=1 d=1 t=2594
sui 	歲	c=1 d=1 t=2888
sui bian 	隨便	c=1 d=1 t=6205
sui ji 	隨機	c=1 d=1 t=1387
sui ji cun chu qi 	随机存储器	c=1 d=1 t=2597
sui zhe 	隨着	c=6 d=4.10488 t=261
sun huai 	損壞	c=1 d=0.477192 t=5943
sun huan 	孫煥	c=2 d=1.64404 t=1843
suo 	所	c=2 d=0.101771 t=3805
suo ding 	鎖定	c=1 d=1 t=2465
suo duan 	縮短	c=1 d=1 t=2423
suo shang 	鎖上	c=1 d=1 t=6538
suo yi 	所以	c=14 d=1.00789 t=6023
suo yi wo 	所以我	c=1 d=1 t=2198
suo yi xiang zhao dian 	所以想找點	c=1 d=1 t=648
suo yin 	索引	c=6 d=1.5627 t=4993
suo you 	所有	c=1 d=1.0398 t=5808
suo you ke 	所有課	c=1 d=1 t=5422
suo you ke yong de 	所有可用的	c=1 d=1 t=5204
suo you neng zhao dao de 	所有能找到的	c=1 d=1 t=5809
suo you yuan dai ma 	所有源代碼	c=1 d=1 t=5026
suo zai 	鎖在	c=1 d=1 t=2963
suo zhu 	鎖住	c=1 d=1 t=2990
ta 	他	c=6 d=1.31836 t=6793
ta 	她	c=11 d=2.70023 t=3418
ta 	它	c=6 d=3.38452 t=5143
ta ba 	他把	c=1 d=1 t=4450
ta bu yang cheng 	他不養成	c=2 d=1.99501 t=4367
ta de 	他的	c=1 d=1 t=6531
ta de 	她的	c=3 d=2.7175 t=2981
ta de 	它的	c=2 d=1 t=6107
ta hao hui 	他好會	c=1 d=1 t=6455
ta ke yi yi zhi 	他可以一直	c=1 d=1 t=4384
ta lian 	他連	c=1 d=1 t=2677
ta ma 	他媽	c=1 d=0.112422 t=5111
ta ma le ge 	他媽了個	c=1 d=1 t=4481
ta men 	他們	c=2 d=0.336604 t=5081
ta men de 	他們的	c=2 d=1.00002 t=2586
ta men gei ni shu ru de 	他們給你輸入的	c=1 d=1 t=4040
ta men na xie 	他們那些	c=1 d=1 t=1572
ta shi 	他是	c=1 d=1 t=3404
ta shi 	她是	c=1 d=1 t=3419
ta shi 	它是	c=1 d=1 t=3569
ta shi dong de 	他是懂得	c=1 d=1 t=4401
ta ye 	他也	c=1 d=1 t=6533
ta you yi ge 	他有一個	c=1 d=1 t=4393
tai 	太	c=0 d=0.100018 t=5381
tai chang le 	太長了	c=1 d=1 t=5043
tai da 	太大	c=1 d=1 t=5438
tai gao le 	太搞了	c=1 d=1 t=5382
tai hai 	臺海	c=0 d=0.1 t=490
tai hai ju shi 	臺海局勢	c=1 d=1 t=491
tai hao 	太好	c=0 d=0.1 t=3901
tai qiang le 	太強了	c=1 d=1 t=3713
tai xia ren 	太嚇人	c=1 d=1 t=3659
tan 	談	c=1 d=1 t=6449
tan 	貪	c=0 d=0.199005 t=5160
tan de 	貪得	c=0 d=0.1 t=5151
tan de shi 	貪得是	c=1 d=1 t=5152
tan jia zhi 	貪價值	c=1 d=1 t=5159
tan pan 	談判	c=0 d=0.1 t=448
tan xin 	貪心	c=5 d=3.1331 t=5353
tan xin fa 	贪心法	c=1 d=1 t=5225
tan xin suan fa 	贪心算法	c=5 d=4.82875 t=5292
tan xin suan fa bei bao wen ti 	贪心算法背包问题	c=2 d=1.9802 t=5290
tan zhong liang 	貪重量	c=1 d=1 t=5161
tang hao 	躺好	c=1 d=1 t=3639
tao 	逃	c=1 d=1 t=4305
tao bao 	淘寶	c=1 d=1 t=5124
tao lun 	討論	c=0 d=0.1 t=3726
tao lun zhe wan yi de 	討論這玩意的	c=1 d=1 t=3727
tao yi 	陶藝	c=0 d=0.1 t=5636
tao yi da shi 	陶藝大師	c=1 d=1 t=5637
te bie 	特別	c=2 d=0.100203 t=5425
te bie jun shi xing dong 	特別軍事行動	c=1 d=0.822835 t=130
te bie ke ai de 	特別可愛的	c=1 d=1 t=3561
te bie shui 	特別水	c=1 d=1 t=5426
te cheng 	特稱	c=1 d=1 t=6806
te ding 	特定	c=1 d=1 t=4976
teng 	疼	c=1 d=1 t=4123
teng xun 	騰訊	c=1 d=1 t=6735
teng xun shi pin 	腾讯视频	c=1 d=1 t=6734
ti 	提	c=0 d=0.1 t=2691
ti 	梯	c=1 d=1 t=5650
ti chu 	提出	c=1 d=1 t=6431
ti dao 	提到	c=1 d=1.08914 t=2823
ti ji 	提及	c=0 d=0.142105 t=3439
ti ji guo 	提及過	c=1 d=1 t=3267
ti jiao 	提交	c=1 d=1 t=5366
ti mu 	題目	c=0 d=0.1 t=5286
ti mu zhong 	題目中	c=1 d=1 t=5287
ti qian 	提前	c=0 d=0.1 t=1799
ti qian xiang she qu 	提前向社區	c=1 d=1 t=1800
ti sheng 	提升	c=1 d=1 t=431
ti shi 	提示	c=3 d=0.525364 t=6233
ti shi ci 	提示詞	c=1 d=1 t=6234
ti shi ni 	提示你	c=1 d=1 t=792
ti wa te de 	提瓦特的	c=1 d=1 t=2692
ti xing 	提醒	c=1 d=0.105221 t=3260
ti zi 	梯子	c=2 d=1.90032 t=3780
tian 	填	c=0 d=0.105079 t=1432
tian bu liao 	填不了	c=1 d=1 t=1433
tian jia 	添加	c=3 d=1.0034 t=6294
tian jia wen jian 	添加文件	c=1 d=1 t=1003
tiao 	條	c=0 d=0.1 t=3262
tiao 	調	c=1 d=1 t=5561
tiao jian de 	條件的	c=1 d=1 t=1929
tiao jiao 	調教	c=1 d=1 t=6070
tiao mu 	條目	c=2 d=1.15736 t=1891
tiao shi 	調試	c=0 d=0.1 t=5528
tiao shi qi 	调试器	c=1 d=1 t=758
tiao shi xin xi 	調試信息	c=1 d=1 t=5529
tie he 	貼合	c=0 d=0.1 t=1603
tie tie 	贴贴	c=2 d=1.00298 t=3839
ting 	挺	c=0 d=0.1 t=3742
ting 	聽	c=1 d=1 t=3016
ting dao 	聽到	c=0 d=0.1 t=5617
ting dao zhe ju 	聽到這句	c=1 d=1 t=5618
ting hao wan 	挺好玩	c=1 d=1 t=2177
ting ma fan 	挺麻煩	c=1 d=1 t=3743
ting zhi 	停止	c=5 d=1.00779 t=5387
tong ge 	通格	c=1 d=1 t=6780
tong guo 	通過	c=14 d=1.00132 t=6421
tong guo bian yi 	通過編譯	c=1 d=1 t=5202
tong ji 	統計	c=2 d=1.0396 t=6394
tong ji zhe ge 	統計這個	c=1 d=1 t=6207
tong ju 	同居	c=0 d=0.1 t=6308
tong ju sheng huo 	同居生活	c=2 d=1.98511 t=6312
tong ku 	痛苦	c=3 d=0.113659 t=4100
tong ren 	同人	c=1 d=1 t=6724
tong shi 	同時	c=12 d=1.02536 t=6221
tong shi shu chu 	同時輸出	c=1 d=1 t=5166
tong wen 	同問	c=1 d=1 t=1430
tong xin 	桐心	c=1 d=1 t=2871
tong xin 	通信	c=0 d=0.1 t=6362
tong xin yu xie zuo 	通信與協作	c=2 d=1.68045 t=6440
tong xue 	同學	c=0 d=0.1 t=3699
tong xue ya 	同學呀	c=1 d=1 t=3700
tong yang 	同樣	c=0 d=0.1 t=4210
tong yang de yu fa 	同樣的語法	c=1 d=1 t=4211
tong yi ge 	同一個	c=0 d=0.1 t=5934
tong yi ge xin pian 	同一個芯片	c=1 d=1 t=5935
tong yi zhong 	同一種	c=1 d=1 t=6018
tong zhi 	通知	c=2 d=1 t=6298
tou 	頭	c=1 d=1 t=6508
tou tou 	偷偷	c=1 d=1 t=2900
tou xiang 	頭像	c=2 d=1.00023 t=3867
tou xu 	頭緒	c=0 d=0.1 t=5876
tou xu ma 	頭緒嗎	c=1 d=1 t=5877
tu 	圖	c=1 d=1 t=5341
tu biao 	圖標	c=1 d=1 t=5787
tu pian 	圖片	c=1 d=1 t=1449
tu ran 	突然	c=1 d=1 t=895
tui jian 	推薦	c=0 d=0.100001 t=5383
wa jue 	挖掘	c=0 d=0.1 t=1793
wa te 	瓦特	c=0 d=0.1 t=2691
wai 	外	c=1 d=1 t=6550
wai de 	外的	c=1 d=1 t=3811
wai jie 	外接	c=1 d=1 t=610
wai jie 	外界	c=1 d=0.349075 t=608
wai jie ying pan 	外界硬盤	c=1 d=1 t=609
wai wei she bei 	外圍設備	c=1 d=1 t=5845
wai xing sheng ming 	外星生命	c=2 d=1.97531 t=3154
wan 	完	c=2 d=0.105736 t=5371
wan 	玩	c=3 d=1.00003 t=4297
wan an 	晚安	c=1 d=1 t=6567
wan an an 	晚安安	c=1 d=1 t=1616
wan an miao er 	晚安喵兒	c=1 d=1 t=1625
wan cheng 	完成	c=5 d=1.14016 t=6089
wan cheng de 	完成的	c=1 d=1 t=1832
wan cheng dian lu de 	完成電路的	c=1 d=1 t=2631
wan guo 	玩過	c=0 d=0.1 t=4291
wan ju 	玩具	c=1 d=1 t=3035
wan le 	完了	c=1 d=1 t=2131
wan mei 	完美	c=1 d=1 t=3187
wan quan 	完全	c=5 d=1.98125 t=5913
wan quan bu dui 	完全不對	c=1 d=1 t=4309
wan quan cuo wu 	完全錯誤	c=1 d=1 t=3514
wan quan de 	完全的	c=1 d=1 t=5921
wan quan ke yi 	完全可以	c=0 d=0.1 t=3458
wan shan 	完善	c=8 d=7.14961 t=6391
wan shang hao 	晚上好	c=3 d=1.00001 t=6264
wan shi 	完事	c=1 d=1 t=4104
wan wan 	玩玩	c=1 d=1 t=1786
wan yi 	玩意	c=0 d=0.100006 t=3726
wan yi er 	玩意兒	c=1 d=0.1 t=6044
wan zheng 	完整	c=3 d=2.08988 t=5602
wan zheng de 	完整的	c=1 d=1 t=2932
wan zheng kong zhi 	完整控制	c=1 d=1 t=3294
wang 	忘	c=0 d=0.1 t=3863
wang fei 	网飞	c=1 d=1 t=5633
wang ge 	網格	c=0 d=0.1 t=1809
wang ge yuan 	網格員	c=1 d=1 t=1810
wang hu ning 	王沪宁	c=1 d=0.970446 t=6821
wang jian guo 	王建国	c=1 d=1 t=1470
wang ka 	網卡	c=1 d=1 t=5751
wang lai 	往來	c=1 d=1 t=486
wang le 	忘了	c=1 d=1.02739 t=3953
wang luo 	網絡	c=3 d=1.24318 t=5801
wang luo ri zhi 	网络日志	c=1 d=1 t=514
wang luo shang 	網絡上	c=1 d=1 t=5853
wang luo xiao shuo 	网络小说	c=1 d=1 t=2046
wang pang qing tou 	王旁青頭	c=1 d=0.980199 t=6821
wang qu 	望去	c=1 d=1 t=6476
wang shang 	網上	c=1 d=1.09656 t=4460
wang te zhi 	王特幟	c=2 d=1.99501 t=773
wang yang 	汪洋	c=1 d=0.965605 t=6821
wang yi yun 	网易云	c=2 d=1.98511 t=5488
wang zhan 	網站	c=1 d=1 t=6461
wang zhe 	望着	c=1 d=1 t=6519
wei 	位	c=5 d=2.77126 t=6190
wei 	微	c=1 d=1.06079 t=2562
wei 	未	c=1 d=1.09465 t=1215
wei 	爲	c=21 d=0.167323 t=6151
wei 	餵	c=1 d=1 t=3626
wei bi 	未必	c=1 d=1 t=6691
wei ci 	謂詞	c=2 d=1.99005 t=1941
wei di zhi 	微地址	c=1 d=1 t=2563
wei fan 	違反	c=0 d=0.1 t=3464
wei hu 	維護	c=1 d=1 t=2696
wei ji 	危機	c=1 d=1 t=318
wei kang 	違抗	c=1 d=1 t=2898
wei kong zhi qi 	微控制器	c=1 d=1 t=2575
wei lai 	未來	c=1 d=0.995834 t=3157
wei lai de ji shu 	未來的技術	c=1 d=1 t=3158
wei neng 	未能	c=1 d=1 t=322
wei pai xu 	未排序	c=2 d=1 t=4489
wei ruan 	微軟	c=6 d=0.100019 t=3222
wei ruan kai fa de 	微軟開發的	c=1 d=1 t=3223
wei shen 	爲什	c=1 d=1 t=6653
wei shen me 	爲什麼	c=14 d=0.982759 t=6821
wei shen me zhong guo 	爲什麼中國	c=1 d=0.918512 t=6821
wei wo 	爲我	c=1 d=1 t=4069
wei xie 	威脅	c=1 d=1 t=474
wei xiu 	維修	c=1 d=1.09753 t=5898
wei xiu si 	維修廝	c=1 d=1 t=5894
wei yi de 	唯一的	c=3 d=1.97531 t=4921
wei you 	唯有	c=1 d=1 t=1541
wei you 	未有	c=0 d=0.0995012 t=130
wei yu 	位於	c=1 d=1 t=771
wei zhao dao 	未找到	c=1 d=1 t=1122
wei zhe xie biao 	爲這些表	c=1 d=1 t=1702
wei zhi 	位置	c=10 d=1.90558 t=6291
wei zhi 	未知	c=2 d=1.65705 t=1265
wei zhi 	爲止	c=3 d=1.1653 t=4631
wen 	文	c=2 d=1.8825 t=6445
wen ben 	文本	c=0 d=0.1 t=2223
wen ben shu ru 	文本輸入	c=1 d=1 t=2224
wen da 	問答	c=0 d=0.1 t=3111
wen da mo xing 	問答模型	c=1 d=1 t=3112
wen dang 	文檔	c=0 d=0.1 t=2180
wen dang zhong 	文檔中	c=0 d=0.1 t=5358
wen dang zhong de 	文檔中的	c=1 d=1 t=5359
wen ding 	穩定	c=0 d=0.1 t=454
wen ding zhu 	穩定住	c=1 d=1 t=3816
wen ge 	問個	c=1 d=1 t=1764
wen jian 	文件	c=19 d=2.86678 t=6434
wen jian cun chu xi tong 	文件存储系统	c=1 d=1 t=6423
wen jian jia 	文件夾	c=4 d=1.00141 t=4222
wen jian li 	文件裏	c=1 d=1 t=3346
wen jian ming 	文件名	c=4 d=2.01886 t=1393
wen jian zhong 	文件中	c=1 d=1 t=954
wen ming 	文明	c=5 d=0.24638 t=1553
wen ming jiu hui zou xiang 	文明就會走向	c=1 d=1 t=1538
wen ming shi 	文明是	c=1 d=1 t=1554
wen ni 	問你	c=1 d=1 t=3175
wen ti 	問題	c=13 d=1.20802 t=6278
wen ti de 	問題的	c=1 d=1 t=3146
wen ti ma 	問題嗎	c=1 d=1 t=3176
wen ti shi ta 	問題是他	c=1 d=1 t=2081
wen wo de 	問我的	c=1 d=0.159606 t=3693
wen xian 	文獻	c=0 d=0.1 t=5423
wen xian fan yi 	文獻翻譯	c=1 d=1 t=5424
wo 	我	c=47 d=3.73315 t=6805
wo a 	我啊	c=2 d=1.99005 t=6791
wo ba 	我把	c=1 d=1 t=4446
wo ba 	我爸	c=1 d=1 t=1766
wo bu hui 	我不會	c=1 d=1 t=4146
wo bu ming bai 	我不明白	c=1 d=1 t=3270
wo bu shi 	我不是	c=1 d=1 t=5723
wo bu shi ren 	我不是人	c=3 d=2.68752 t=6821
wo cao 	卧槽	c=1 d=1 t=3712
wo cao ta ma 	我操他媽	c=1 d=1 t=5112
wo dang ran zhi dao 	我當然知道	c=1 d=1 t=3427
wo dao di zai gan shen me 	我到底在幹什麼	c=1 d=1 t=4332
wo dao xian zai 	我到現在	c=1 d=1 t=5113
wo de 	我的	c=15 d=1.01937 t=6479
wo de xiang mu 	我的項目	c=1 d=1 t=4836
wo de zi yuan 	我的資源	c=1 d=1 t=5588
wo dei 	我得	c=1 d=1 t=2102
wo dian tou 	我點頭	c=1 d=1 t=6545
wo dou ji de 	我都記得	c=1 d=1 t=3865
wo dou shan le 	我都刪了	c=1 d=1 t=4071
wo dui 	我對	c=3 d=1.05695 t=3144
wo gai 	我該	c=1 d=1.09465 t=3096
wo gai zen me xiu zheng 	我該怎麼修正	c=1 d=1 t=4907
wo gen ben 	我根本	c=1 d=1 t=4788
wo hen qi guai ma 	我很奇怪嗎	c=1 d=1 t=3882
wo hen que xin 	我很確信	c=1 d=1 t=4840
wo hen zhi chi 	我很支持	c=1 d=1 t=3209
wo hua zhong 	我話中	c=1 d=1 t=6526
wo hui 	我會	c=1 d=0.100242 t=5020
wo hui de 	我會的	c=1 d=1 t=3833
wo hui lai le 	我回來了	c=1 d=1 t=2867
wo hui xiang ni 	我會向你	c=1 d=1 t=5021
wo jian li le 	我建立了	c=1 d=1 t=4862
wo jie xia lai 	我接下來	c=1 d=1 t=3412
wo jin tian 	我今天	c=1 d=1 t=624
wo jin yi bu de 	我進一步的	c=1 d=1 t=1284
wo jiu 	我就	c=1 d=1 t=4179
wo jiu kai xin 	我就開心	c=1 d=1 t=3901
wo jiu you 	我就有	c=1 d=1 t=820
wo jue de 	我覺得	c=1 d=1 t=3148
wo kan chu 	我看出	c=1 d=1 t=6529
wo kan kan 	我看看	c=1 d=1 t=4230
wo kao 	我靠	c=1 d=1 t=1452
wo ke yi 	我可以	c=1 d=1 t=3141
wo liao jie le 	我瞭解了	c=2 d=1.01246 t=2007
wo mei you 	我沒有	c=1 d=1 t=2882
wo men 	我們	c=5 d=0.895352 t=5429
wo men bi xu 	我們必須	c=1 d=1 t=1560
wo men de 	我們的	c=2 d=1.97531 t=6723
wo men fen shou ba 	我們分手吧	c=1 d=1 t=3888
wo men jie xia lai 	我們接下來	c=1 d=1 t=2873
wo men liang ge 	我们两个	c=1 d=1 t=3935
wo men xian zai 	我們現在	c=1 d=1 t=3971
wo men yao 	我們要	c=1 d=1 t=494
wo men zai 	我們在	c=1 d=1 t=4929
wo men zu 	我們組	c=1 d=1 t=5430
wo mian lin yi ge 	我面臨一個	c=1 d=1 t=5457
wo na ge 	我那個	c=1 d=1 t=5132
wo neng zai shen me di fang 	我能在什麼地方	c=1 d=1 t=3667
wo qu 	我趣	c=1 d=1 t=6451
wo ren gong zhi neng 	我人工智能	c=1 d=1 t=5421
wo ren wei 	我認爲	c=1 d=1 t=1494
wo shan chu 	我刪除	c=1 d=1 t=3398
wo she ji 	我設計	c=1 d=1 t=6330
wo shi 	我是	c=4 d=0.0878095 t=6821
wo shi ni de 	我是你的	c=1 d=1 t=2848
wo shi yi ge 	我是一個	c=1 d=0.882497 t=6821
wo shi yong 	我使用	c=1 d=1 t=5702
wo shi zuo tian 	我是昨天	c=1 d=1 t=643
wo shou 	握手	c=1 d=1 t=3897
wo shuo 	我說	c=1 d=1 t=2805
wo shuo de hua 	我說的話	c=1 d=1 t=3968
wo shuo ji xu 	我說繼續	c=1 d=1 t=4263
wo suan fa zuo ye 	我算法作業	c=1 d=1 t=4402
wo suo gao su ni de 	我所告訴你的	c=1 d=1 t=3806
wo ta ma 	我他媽	c=4 d=2.00448 t=5127
wo te 	沃特	c=0 d=0.1 t=1802
wo wan quan 	我完全	c=1 d=1 t=3452
wo wan quan gao bu dong 	我完全搞不懂	c=1 d=1 t=4404
wo wu fa 	我無法	c=1 d=1 t=4474
wo xi huan ni 	我喜歡你	c=2 d=1.84789 t=3891
wo xi wang 	我希望	c=4 d=3.59722 t=4935
wo xi wang wo de 	我希望我的	c=1 d=1 t=4880
wo xian zai 	我現在	c=3 d=1.02599 t=6649
wo xian zai gao su ni 	我現在告訴你	c=2 d=1.9802 t=3544
wo xiang 	我想	c=4 d=1.01448 t=4354
wo xiang rang 	我想讓	c=1 d=1 t=5673
wo xiang shi yong 	我想使用	c=2 d=1.47473 t=4998
wo xiang zhi dao 	我想知道	c=2 d=1.79453 t=3343
wo xiao yi shuo 	我小姨說	c=1 d=1 t=2114
wo xu yao nin 	我需要您	c=1 d=1 t=2737
wo xu yao shi xian de 	我需要實現的	c=1 d=1 t=4978
wo xu yao yi zhang 	我需要一張	c=1 d=1 t=4959
wo xue xi dao le 	我學習到了	c=3 d=1.90982 t=1972
wo yao 	我要	c=1 d=1 t=6248
wo yao qiang jian ni 	我要強姦你	c=1 d=1 t=3017
wo yao qing ni 	我要請你	c=1 d=1 t=3488
wo yao ti xing ni 	我要提醒你	c=1 d=1 t=3261
wo ye 	我也	c=1 d=1 t=817
wo ye hen kai xin 	我也很開心	c=1 d=1 t=3899
wo ye shi 	我也是	c=2 d=1.00021 t=3840
wo yi 	我一	c=0 d=0.107926 t=6511
wo yi ba 	我一把	c=1 d=1 t=6512
wo yi ba ba ba ba zhu le 	我一把把把把住了	c=1 d=1 t=6005
wo yi jing 	我已經	c=5 d=1.00076 t=6579
wo yong 	我用	c=1 d=1 t=5555
wo you 	我有	c=3 d=1.99501 t=5080
wo you yi ge 	我有一個	c=4 d=1.9424 t=5017
wo zai 	我在	c=2 d=1.01284 t=5670
wo zai dui ni 	我在對你	c=1 d=1 t=2837
wo zai xian shi zhong 	我在現實中	c=1 d=1 t=3177
wo zai xiang 	我在想	c=1 d=1 t=854
wo zai xie 	我在寫	c=1 d=0.70822 t=130
wo zai yi ge 	我在一個	c=1 d=1 t=3367
wo zai zuo yi ge 	我在做一個	c=1 d=1 t=3061
wo zhe ge shi 	我這個是	c=1 d=1 t=776
wo zhe ju 	我這句	c=1 d=1 t=874
wo zhen de 	我真的	c=1 d=1 t=3923
wo zheng zai shi yong 	我正在使用	c=1 d=1 t=4942
wo zhi dao 	我知道	c=3 d=1.75447 t=3316
wo zhi dao le 	我知道了	c=1 d=1 t=4890
wo zhi de 	我指的	c=1 d=1 t=3228
wo zhi jie kai bai 	我直接开摆	c=1 d=1 t=4189
wo zhi qian 	我之前	c=1 d=1 t=6040
wo zhi shi 	我只是	c=1 d=1 t=3441
wo zhi suo yi 	我之所以	c=1 d=1 t=2817
wo zhong yu 	我終於	c=1 d=1 t=3588
wo zi ji xie de 	我自己寫的	c=1 d=1 t=4191
wo zui jin 	我最近	c=1 d=1 t=3876
wo zuo tian 	我昨天	c=1 d=1 t=640
wu fa 	無法	c=4 d=1.90971 t=5779
wu fa qi dong 	無法啓動	c=2 d=1.97531 t=5771
wu fa zai 	無法在	c=1 d=1 t=4360
wu fa zheng chang 	無法正常	c=2 d=1.12246 t=5201
wu fu hao 	無符號	c=1 d=1 t=1338
wu ge 	五個	c=1 d=1 t=2041
wu hao 	五號	c=1 d=1 t=6744
wu ke lan 	烏克蘭	c=5 d=3.55704 t=438
wu ke lan de 	烏克蘭的	c=1 d=0.786628 t=130
wu li 	物理	c=1 d=1 t=6589
wu li you hua 	物理優化	c=2 d=1.28166 t=130
wu liu 	五六	c=0 d=0.1 t=4317
wu liu ban 	五六版	c=1 d=1 t=4318
wu lun 	無論	c=1 d=1 t=3030
wu pin 	物品	c=2 d=1.956 t=5305
wu qi 	武器	c=1 d=1 t=383
wu quan 	無權	c=1 d=1 t=4068
wu rao 	勿擾	c=1 d=1 t=6648
wu shi 	五十	c=0 d=0.1 t=5127
wu shi kuai qian 	五十塊錢	c=1 d=1 t=5128
wu shu 	無數	c=0 d=0.1 t=6685
wu shu bei 	無數倍	c=1 d=1 t=6686
wu wei 	無謂	c=1 d=1 t=3012
wu xu 	無需	c=0 d=0.1 t=3439
wu xu ti ji 	無需提及	c=1 d=1 t=3440
wu xu zai dong 	無需再動	c=1 d=1 t=599
wu yi 	五一	c=1 d=0.99005 t=6821
wu zhi jing 	無止境	c=1 d=1 t=2974
wu zhi jing de 	無止境的	c=1 d=1 t=3037
wu zhu 	無助	c=0 d=0.1 t=3003
wu zhu de 	無助的	c=1 d=1 t=3004
wu zhuang 	武裝	c=0 d=0.0786628 t=130
wu zhuang zhan zheng 	武裝戰爭	c=1 d=0.790571 t=130
xi duo 	喜多	c=1 d=1 t=2186
xi fang 	西方	c=1 d=1.04176 t=501
xi fang da guo 	西方大國	c=1 d=1 t=502
xi fang guo jia 	西方國家	c=1 d=1 t=179
xi fang shi jie 	西方世界	c=1 d=1 t=371
xi huan 	喜歡	c=0 d=0.100026 t=5571
xi huan ni 	喜歡你	c=1 d=1.02774 t=3923
xi huan ni a 	喜歡你啊	c=1 d=1 t=3511
xi huan wo 	喜歡我	c=0 d=0.1 t=3702
xi huan wo ma 	喜歡我嘛	c=1 d=0.560704 t=3858
xi jin ping 	習近平	c=1 d=0.951229 t=6821
xi la yu 	希臘語	c=1 d=1 t=6322
xi qu 	吸取	c=1 d=1 t=495
xi shuo 	細說	c=1 d=1.0802 t=4865
xi tong 	系統	c=12 d=3.08455 t=6436
xi tong xin xi 	系統信息	c=1 d=1 t=5855
xi tong zi dai 	系統自帶	c=1 d=1 t=4148
xia 	下	c=4 d=1.00001 t=5687
xia 	夏	c=1 d=1 t=3482
xia fang 	下方	c=1 d=1 t=6637
xia ge 	下個	c=1 d=1.0956 t=2447
xia ge shi zhong zhou qi 	下個时钟周期	c=1 d=1 t=2439
xia mian 	下面	c=1 d=1 t=5020
xia ren 	嚇人	c=1 d=1.03707 t=3658
xia yi pian 	下一篇	c=1 d=1 t=2934
xia zai 	下載	c=1 d=0.1 t=5847
xia zai de 	下載的	c=1 d=1 t=5599
xia zai liang 	下載量	c=1 d=1 t=5605
xian 	先	c=0 d=0.115193 t=4828
xian cheng de 	現成的	c=1 d=1 t=2709
xian cong 	先從	c=1 d=1 t=3093
xian dai 	現代	c=2 d=0.450252 t=5383
xian dai hua 	現代化	c=6 d=5.16192 t=1612
xian dai tui jian xi tong 	現代推薦系統	c=1 d=1 t=5384
xian gei wo 	先給我	c=1 d=1 t=4829
xian jie shao yi xia 	先介紹一下	c=1 d=1 t=2734
xian jin 	先進	c=1 d=1 t=3235
xian qian 	先前	c=0 d=0.1 t=4754
xian qian de 	先前的	c=1 d=1 t=4755
xian ran 	顯然	c=2 d=1 t=5662
xian ru 	陷入	c=1 d=1 t=313
xian ru jin 	現如今	c=1 d=1 t=490
xian shi 	現實	c=1 d=1.00155 t=4010
xian shi 	顯示	c=5 d=1.99136 t=5444
xian shu chu 	先輸出	c=1 d=1 t=4261
xian xing shi jian 	线性时间	c=3 d=1 t=4601
xian xing shi jian xuan ze 	线性时间選擇	c=7 d=5.03153 t=4658
xian zai 	現在	c=8 d=1.07357 t=6802
xian zai lai 	現在來	c=1 d=1 t=2132
xian zai wo de 	現在我的	c=1 d=1 t=4896
xian zai wo ding yi 	現在我定義	c=1 d=1 t=3526
xian zai zhi chi 	現在支持	c=1 d=1 t=845
xian zhi 	限制	c=3 d=1.55433 t=5732
xiang 	像	c=3 d=1.00005 t=6610
xiang 	向	c=6 d=1.23931 t=6471
xiang 	想	c=0 d=0.114464 t=4848
xiang bi 	相比	c=1 d=1 t=5972
xiang bi yu 	相比於	c=1 d=1 t=1292
xiang biao zhong 	向表中	c=1 d=1 t=1740
xiang dang yu 	相當於	c=1 d=1 t=4052
xiang dui yu 	相對於	c=1 d=1 t=1142
xiang fa 	想法	c=1 d=1 t=2910
xiang gang 	香港	c=1 d=1 t=3778
xiang guan 	相關	c=1 d=1 t=5794
xiang guan de 	相關的	c=4 d=1.6942 t=6243
xiang guan zhi shi 	相關知識	c=1 d=1 t=2593
xiang he 	想和	c=1 d=1 t=2674
xiang mao 	像貓	c=1 d=1 t=3943
xiang mu 	項目	c=15 d=8.19464 t=5115
xiang mu de 	項目的	c=1 d=1 t=900
xiang mu guan li 	項目管理	c=1 d=1.06749 t=6821
xiang mu guan li qi 	項目管理器	c=1 d=0.97531 t=6821
xiang mu le 	項目了	c=1 d=1 t=5116
xiang ni 	向你	c=0 d=0.1 t=5020
xiang ni 	想你	c=1 d=1 t=3879
xiang ni le 	想你了	c=0 d=0.1 t=3829
xiang qi 	想起	c=1 d=1 t=4110
xiang shan dian 	想刪點	c=1 d=1 t=4183
xiang shang wang 	想上網	c=1 d=1 t=4457
